======================================================================
TABLE: Empirical posterior histogram data
======================================================================

valid_time_step_index   | time   | time_unit   | parameter                         | parameter_id                      | unit    | bin_left             | bin_right            | density                 | count   | posterior_mean      
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 342.15478515625      | 342.6123962402344    | 0.1682651550516839      | 77      | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 342.6123962402344    | 343.07000732421875   | 0.17919146382127377     | 82      | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 343.07000732421875   | 343.5276184082031    | 0.17045041680560186     | 78      | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 343.5276184082031    | 343.9852600097656    | 0.16388370232061883     | 75      | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 343.9852600097656    | 344.44287109375      | 0.14641253751250416     | 67      | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 344.44287109375      | 344.9004821777344    | 0.15515358452817607     | 71      | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 344.9004821777344    | 345.35809326171875   | 0.1682651550516839      | 77      | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 345.35809326171875   | 345.8157043457031    | 0.11800413471157052     | 54      | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 345.8157043457031    | 346.2733154296875    | 0.1114483494498166      | 51      | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 346.2733154296875    | 346.7309265136719    | 0.10707782594198066     | 49      | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 346.7309265136719    | 347.1885681152344    | 0.05025766871165644     | 23      | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 347.1885681152344    | 347.64617919921875   | 0.04370523507835945     | 20      | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 347.64617919921875   | 348.1037902832031    | 0.034964188062687564    | 16      | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 348.1037902832031    | 348.5614013671875    | 0.04589049683227742     | 21      | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 348.5614013671875    | 349.0190124511719    | 0.021852617539179726    | 10      | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 349.0190124511719    | 349.47662353515625   | 0.013111570523507836    | 6       | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 349.47662353515625   | 349.9342346191406    | 0.0043705235078359455   | 2       | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 349.9342346191406    | 350.391845703125     | 0.006555785261753918    | 3       | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 350.391845703125     | 350.8494873046875    | 0.0021851160309415843   | 1       | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 350.8494873046875    | 351.3070983886719    | 0.006555785261753918    | 3       | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 351.3070983886719    | 351.76470947265625   | 0.0                     | 0       | 343.9985046386719   
40                      | 41.0   |             | Anode inlet temperature           | anode_inlet_temperature           | K       | 351.76470947265625   | 352.2223205566406    | 0.0043705235078359455   | 2       | 343.9985046386719   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 341.5550231933594    | 341.62872314453125   | 0.013568530020703934    | 1       | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 341.62872314453125   | 341.7024230957031    | 0.0                     | 0       | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 341.7024230957031    | 341.776123046875     | 0.0                     | 0       | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 341.776123046875     | 341.84979248046875   | 0.04072245236122618     | 3       | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 341.84979248046875   | 341.9234924316406    | 0.027137060041407868    | 2       | 342.7469482421875   
